tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
imdb.com/title/tt1343092,7.2,524474,The Great Gatsby,The Great Gatsby,2013,143,"Drama,Romance"
imdb.com/title/tt1392170,7.2,895480,The Hunger Games,The Hunger Games,2012,142,"Action,Adventure,Sci-Fi"
imdb.com/title/tt1300854,7.2,821243,Iron Man 3,Iron Man Three,2013,130,"Action,Adventure,Sci-Fi"
imdb.com/title/tt0480249,7.2,735849,I Am Legend,I Am Legend,2007,101,"Action,Drama,Sci-Fi"
imdb.com/title/tt1670345,7.2,639964,Now You See Me,Now You See Me,2013,115,"Crime,Mystery,Thriller"
imdb.com/title/tt0234215,7.2,583168,The Matrix Reloaded,The Matrix Reloaded,2003,138,"Action,Sci-Fi"
imdb.com/title/tt1232829,7.2,544389,21 Jump Street,21 Jump Street,2012,109,"Action,Comedy,Crime"
imdb.com/title/tt0455944,7.2,361702,The Equalizer,The Equalizer,2014,132,"Action,Crime,Thriller"
imdb.com/title/tt0822854,7.2,328494,Shooter,Shooter,2007,124,"Action,Drama,Thriller"
imdb.com/title/tt0360717,7.2,415148,King Kong,King Kong,2005,187,"Action,Adventure,Drama"
imdb.com/title/tt0317219,7.2,403678,Cars,Cars,2006,117,"Adventure,Animation,Comedy"
imdb.com/title/tt1809398,7.2,163721,Unbroken,Unbroken,2014,137,"Action,Biography,Drama"
imdb.com/title/tt0465538,7.2,163407,Michael Clayton,Michael Clayton,2007,119,"Crime,Drama,Mystery"
imdb.com/title/tt0055928,7.2,162668,Dr. No,Dr. No,1962,110,"Action,Adventure,Thriller"
imdb.com/title/tt1139328,7.2,162111,The Ghost Writer,The Ghost Writer,2010,128,"Crime,Drama,Mystery"
imdb.com/title/tt1568911,7.2,155301,War Horse,War Horse,2011,146,"Action,Adventure,Drama"
